18,21;Private;7,10;Never-married;Tech-support;White;Female;United-States;<=50K
18,21;Private;7,10;Never-married;Tech-support;White;Female;United-States;<=50K
18,21;Private;7,10;Never-married;Tech-support;White;Female;United-States;<=50K
18,21;Private;7,10;Never-married;Tech-support;White;Female;United-States;<=50K
18,21;Private;7,10;Never-married;Tech-support;White;Female;United-States;<=50K
18,21;Private;7,10;Never-married;Tech-support;White;Female;United-States;<=50K
18,21;Private;7,10;Never-married;Tech-support;White;Female;United-States;<=50K
18,21;Private;7,10;Never-married;Tech-support;White;Female;United-States;<=50K
18,21;Private;7,10;Never-married;Tech-support;White;Female;United-States;<=50K
18,21;Private;7,10;Never-married;Tech-support;White;Female;United-States;<=50K
18,21;Private;7,10;Never-married;Tech-support;White;Female;United-States;<=50K
18,21;Private;7,10;Never-married;Tech-support;White;Female;United-States;<=50K
18,21;Private;7,10;Never-married;Tech-support;White;Female;United-States;<=50K
22,23;Private;9,10;Never-married;Tech-support;White;Female;United-States;<=50K
22,23;Private;9,10;Never-married;Tech-support;White;Female;United-States;<=50K
22,23;Private;9,10;Never-married;Tech-support;White;Female;United-States;<=50K
22,23;Private;9,10;Never-married;Tech-support;White;Female;United-States;<=50K
22,23;Private;9,10;Never-married;Tech-support;White;Female;United-States;<=50K
22,23;Private;9,10;Never-married;Tech-support;White;Female;United-States;<=50K
22,23;Private;9,10;Never-married;Tech-support;White;Female;United-States;<=50K
22,23;Private;9,10;Never-married;Tech-support;White;Female;United-States;<=50K
22,23;Private;9,10;Never-married;Tech-support;White;Female;United-States;<=50K
22,23;Private;9,10;Never-married;Tech-support;White;Female;United-States;<=50K
22,23;Private;9,10;Never-married;Tech-support;White;Female;United-States;<=50K
22,23;Private;9,10;Never-married;Tech-support;White;Female;United-States;<=50K
22,23;Private;9,10;Never-married;Tech-support;White;Female;United-States;<=50K
24,28;Private;10;Never-married;Tech-support;White;Female;United-States;<=50K
24,28;Private;10;Never-married;Tech-support;White;Female;United-States;<=50K
24,28;Private;10;Never-married;Tech-support;White;Female;United-States;<=50K
24,28;Private;10;Never-married;Tech-support;White;Female;United-States;<=50K
24,28;Private;10;Never-married;Tech-support;White;Female;United-States;<=50K
